scope_of_practice,work_setting,employment_type,is_this_their_current_practice,employer_postcode,organisation_name,organisation_country
Commissioning,Consultancy,Self employed,FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – learning disabilities nursing,Other,Volunteering,FALSE,testpostcode1,Test organisation 1,Wales
Quality assurance or inspection,Police,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Outside UK
Commissioning,Telephone or e-health advice,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Outside UK
Policy,School,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,England
Education,Care home sector,Volunteering,TRUE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – health visiting,Governing body or other leadership,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Outside UK
Education,Care home sector,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – occupational health,Consultancy,Self employed,FALSE,testpostcode1,Test organisation 1,England
Direct clinical care or management – other,Specialist or other tertiary care including hospice,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Wales
Quality assurance or inspection,Other,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – school nursing,Cosmetic or aesthetic sector,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Northern Ireland
Other,Cosmetic or aesthetic sector,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Wales
Education,Maternity unit or birth centre,Volunteering,TRUE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – occupational health,Governing body or other leadership,Self employed,FALSE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – public health,Care home sector,Self employed,TRUE,testpostcode2,Test organisation 1,England
Direct clinical care or management – learning disabilities nursing,Insurance or legal,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – other,Maternity unit or birth centre,Volunteering,FALSE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – school nursing,Specialist or other tertiary care including hospice,Volunteering,TRUE,testpostcode2,Test organisation 1,Northern Ireland
Education,Policy organisation,Employed via an agency,FALSE,testpostcode1,Test organisation 2,England
Research,Care home sector,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – health visiting,Insurance or legal,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – learning disabilities nursing,Consultancy,Self employed,FALSE,testpostcode1,Test organisation 2,Northern Ireland
Commissioning,GP practice or other primary care,Self employed,TRUE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – learning disabilities nursing,"Community setting, including district nursing and community psychiatric nursing",Employed via an agency,TRUE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – occupational health,Insurance or legal,Volunteering,FALSE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – school nursing,Cosmetic or aesthetic sector,Volunteering,TRUE,testpostcode2,Test organisation 2,Northern Ireland
Commissioning,Voluntary or charity sector,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Scotland
Research,Ambulance service,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – public health,Private domestic setting,Employed via an agency,FALSE,testpostcode2,Test organisation 1,England
Direct clinical care or management – health visiting,Prison,Self employed,TRUE,testpostcode2,Test organisation 2,Outside UK
Education,Ambulance service,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – health visiting,University or other research facility,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – adult and general care nursing,Policy organisation,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – children’s and neo-natal nursing,Private domestic setting,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – midwifery,Policy organisation,Employed via an agency,TRUE,testpostcode2,Test organisation 1,England
Direct clinical care or management – mental health nursing,Occupational health,Self employed,FALSE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – learning disabilities nursing,Telephone or e-health advice,Volunteering,FALSE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – public health,Prison,Volunteering,TRUE,testpostcode1,Test organisation 2,Northern Ireland
Policy,Voluntary or charity sector,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Wales
Quality assurance or inspection,GP practice or other primary care,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – adult and general care nursing,Specialist or other tertiary care including hospice,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – adult and general care nursing,"Community setting, including district nursing and community psychiatric nursing",Volunteering,FALSE,testpostcode1,Test organisation 2,Scotland
Commissioning,"Community setting, including district nursing and community psychiatric nursing",Self employed,TRUE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – children’s and neo-natal nursing,"Community setting, including district nursing and community psychiatric nursing",Employed via an agency,TRUE,testpostcode1,Test organisation 2,England
Direct clinical care or management – learning disabilities nursing,Military,Self employed,FALSE,testpostcode2,Test organisation 2,England
Direct clinical care or management – children’s and neo-natal nursing,Telephone or e-health advice,Self employed,FALSE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – public health,Police,Volunteering,FALSE,testpostcode1,Test organisation 1,Wales
Research,GP practice or other primary care,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – public health,Care home sector,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – children’s and neo-natal nursing,Maternity unit or birth centre,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – children’s and neo-natal nursing,Voluntary or charity sector,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Governing body or other leadership,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – children’s and neo-natal nursing,Prison,Self employed,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – public health,Insurance or legal,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – children’s and neo-natal nursing,Public health organisation,Self employed,FALSE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – occupational health,Maternity unit or birth centre,Self employed,TRUE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – adult and general care nursing,Trade union or professional body,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Scotland
Commissioning,"Community setting, including district nursing and community psychiatric nursing",Employed via an agency,TRUE,testpostcode2,Test organisation 2,Outside UK
Other,School,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Wales
Commissioning,Ambulance service,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Northern Ireland
Research,Private domestic setting,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Outside UK
Policy,Trade union or professional body,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – school nursing,Prison,Volunteering,TRUE,testpostcode1,Test organisation 1,England
Direct clinical care or management – occupational health,Inspectorate or regulator,Employed via an agency,TRUE,testpostcode1,Test organisation 2,England
Direct clinical care or management – mental health nursing,Hospital or other secondary care,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – occupational health,Telephone or e-health advice,Self employed,FALSE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Governing body or other leadership,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Scotland
Commissioning,Private domestic setting,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Scotland
Other,School,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Outside UK
Research,Cosmetic or aesthetic sector,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,England
Direct clinical care or management – public health,Telephone or e-health advice,Volunteering,TRUE,testpostcode1,Test organisation 1,England
Education,Hospital or other secondary care,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Commissioning,GP practice or other primary care,Self employed,FALSE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – mental health nursing,Cosmetic or aesthetic sector,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – mental health nursing,Hospital or other secondary care,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Northern Ireland
Policy,Consultancy,Self employed,FALSE,testpostcode1,Test organisation 1,Northern Ireland
Policy,Specialist or other tertiary care including hospice,Volunteering,TRUE,testpostcode1,Test organisation 1,Outside UK
Other,Voluntary or charity sector,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Wales
Research,University or other research facility,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,England
Direct clinical care or management – mental health nursing,Consultancy,Self employed,FALSE,testpostcode1,Test organisation 1,Wales
Quality assurance or inspection,Military,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – occupational health,Cosmetic or aesthetic sector,Self employed,TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – health visiting,Inspectorate or regulator,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Scotland
Research,Military,Self employed,TRUE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – children’s and neo-natal nursing,Police,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – mental health nursing,Prison,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,England
Policy,Insurance or legal,Self employed,FALSE,testpostcode1,Test organisation 2,England
Direct clinical care or management – adult and general care nursing,Maternity unit or birth centre,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Wales
Policy,"Community setting, including district nursing and community psychiatric nursing",Volunteering,TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – health visiting,Maternity unit or birth centre,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – adult and general care nursing,Care home sector,Self employed,TRUE,testpostcode1,Test organisation 2,Scotland
Research,Private domestic setting,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,England
Other,Private domestic setting,Self employed,FALSE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – public health,Insurance or legal,Volunteering,TRUE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – school nursing,Voluntary or charity sector,Self employed,FALSE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – occupational health,GP practice or other primary care,Self employed,FALSE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – school nursing,Care home sector,Self employed,FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – learning disabilities nursing,Governing body or other leadership,Volunteering,FALSE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – mental health nursing,Maternity unit or birth centre,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – adult and general care nursing,Public health organisation,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Commissioning,Trade union or professional body,Volunteering,FALSE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – occupational health,Hospital or other secondary care,Volunteering,TRUE,testpostcode1,Test organisation 1,England
Direct clinical care or management – public health,Police,Self employed,TRUE,testpostcode1,Test organisation 1,England
Policy,Military,Volunteering,TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – mental health nursing,Telephone or e-health advice,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – adult and general care nursing,Cosmetic or aesthetic sector,Employed via an agency,TRUE,testpostcode2,Test organisation 2,England
Direct clinical care or management – health visiting,Ambulance service,Self employed,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – school nursing,Specialist or other tertiary care including hospice,Volunteering,TRUE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Maternity unit or birth centre,Self employed,TRUE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – health visiting,Occupational health,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Northern Ireland
Policy,"Community setting, including district nursing and community psychiatric nursing",Volunteering,FALSE,testpostcode1,Test organisation 1,Outside UK
Quality assurance or inspection,University or other research facility,Self employed,TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – other,Ambulance service,Volunteering,TRUE,testpostcode2,Test organisation 2,England
Research,University or other research facility,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – school nursing,Military,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Wales
Quality assurance or inspection,Policy organisation,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – health visiting,Cosmetic or aesthetic sector,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Northern Ireland
Quality assurance or inspection,"Community setting, including district nursing and community psychiatric nursing",Self employed,TRUE,testpostcode1,Test organisation 1,Scotland
Education,School,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – other,"Community setting, including district nursing and community psychiatric nursing",Volunteering,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Commissioning,Insurance or legal,Volunteering,FALSE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – mental health nursing,Trade union or professional body,Volunteering,FALSE,testpostcode2,Test organisation 1,Outside UK
Quality assurance or inspection,"Community setting, including district nursing and community psychiatric nursing",Employed via an agency,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – mental health nursing,Insurance or legal,Volunteering,FALSE,testpostcode2,Test organisation 2,Scotland
Other,Police,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Outside UK
Research,"Community setting, including district nursing and community psychiatric nursing",Employed via an agency,TRUE,testpostcode2,Test organisation 2,England
Direct clinical care or management – midwifery,Governing body or other leadership,Self employed,FALSE,testpostcode1,Test organisation 1,England
Education,Military,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,England
Commissioning,Specialist or other tertiary care including hospice,Volunteering,FALSE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – occupational health,Cosmetic or aesthetic sector,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – health visiting,Consultancy,Self employed,TRUE,testpostcode2,Test organisation 2,Scotland
Quality assurance or inspection,Ambulance service,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – other,Governing body or other leadership,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – health visiting,Other,Self employed,FALSE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – adult and general care nursing,Inspectorate or regulator,Self employed,TRUE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – midwifery,Inspectorate or regulator,Volunteering,TRUE,testpostcode2,Test organisation 1,Scotland
Commissioning,Hospital or other secondary care,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – school nursing,Inspectorate or regulator,Volunteering,FALSE,testpostcode2,Test organisation 1,Scotland
Quality assurance or inspection,Telephone or e-health advice,Volunteering,FALSE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – other,Governing body or other leadership,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – learning disabilities nursing,Military,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Scotland
Other,Cosmetic or aesthetic sector,Self employed,FALSE,testpostcode2,Test organisation 1,Wales
Other,GP practice or other primary care,Volunteering,TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – health visiting,Ambulance service,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Outside UK
Policy,Military,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – mental health nursing,Specialist or other tertiary care including hospice,Volunteering,TRUE,testpostcode2,Test organisation 1,Outside UK
Research,Inspectorate or regulator,Volunteering,TRUE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – public health,"Community setting, including district nursing and community psychiatric nursing",Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Wales
Commissioning,Occupational health,Volunteering,TRUE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – occupational health,Maternity unit or birth centre,Self employed,TRUE,testpostcode2,Test organisation 2,England
Research,Prison,Volunteering,FALSE,testpostcode1,Test organisation 2,Wales
Research,Voluntary or charity sector,Volunteering,FALSE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – mental health nursing,Other,Volunteering,FALSE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – health visiting,Trade union or professional body,Volunteering,TRUE,testpostcode1,Test organisation 2,England
Quality assurance or inspection,Policy organisation,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – occupational health,Inspectorate or regulator,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Outside UK
Commissioning,Consultancy,Volunteering,TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – mental health nursing,Maternity unit or birth centre,Self employed,FALSE,testpostcode2,Test organisation 2,England
Direct clinical care or management – other,Governing body or other leadership,Volunteering,FALSE,testpostcode1,Test organisation 2,Wales
Policy,Policy organisation,Volunteering,TRUE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – mental health nursing,Trade union or professional body,Self employed,TRUE,testpostcode2,Test organisation 1,England
Direct clinical care or management – health visiting,Maternity unit or birth centre,Volunteering,TRUE,testpostcode2,Test organisation 1,England
Research,Other,Volunteering,FALSE,testpostcode1,Test organisation 2,England
Direct clinical care or management – other,Voluntary or charity sector,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – adult and general care nursing,Military,Volunteering,FALSE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – adult and general care nursing,"Community setting, including district nursing and community psychiatric nursing",Self employed,TRUE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – mental health nursing,Inspectorate or regulator,Self employed,TRUE,testpostcode2,Test organisation 2,Scotland
Education,Occupational health,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – health visiting,Care home sector,Volunteering,TRUE,testpostcode1,Test organisation 2,Scotland
Quality assurance or inspection,Specialist or other tertiary care including hospice,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – learning disabilities nursing,Governing body or other leadership,Self employed,TRUE,testpostcode2,Test organisation 1,Wales
Policy,Inspectorate or regulator,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – health visiting,School,Volunteering,TRUE,testpostcode2,Test organisation 1,England
Policy,Cosmetic or aesthetic sector,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – mental health nursing,Occupational health,Self employed,TRUE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – health visiting,Other,Employed via an agency,FALSE,testpostcode2,Test organisation 2,England
Direct clinical care or management – occupational health,Governing body or other leadership,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Outside UK
Policy,Trade union or professional body,Volunteering,FALSE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – public health,Policy organisation,Volunteering,TRUE,testpostcode1,Test organisation 2,England
Direct clinical care or management – occupational health,University or other research facility,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – school nursing,Trade union or professional body,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – learning disabilities nursing,GP practice or other primary care,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Northern Ireland
Education,Care home sector,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – children’s and neo-natal nursing,School,Self employed,TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – health visiting,Military,Self employed,TRUE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – occupational health,Specialist or other tertiary care including hospice,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Outside UK
Commissioning,"Community setting, including district nursing and community psychiatric nursing",Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – children’s and neo-natal nursing,Other,Volunteering,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Commissioning,GP practice or other primary care,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – school nursing,Maternity unit or birth centre,Volunteering,FALSE,testpostcode2,Test organisation 2,Wales
Other,Insurance or legal,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – occupational health,Policy organisation,Self employed,FALSE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – adult and general care nursing,Hospital or other secondary care,Volunteering,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – school nursing,Policy organisation,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – children’s and neo-natal nursing,Governing body or other leadership,Self employed,FALSE,testpostcode2,Test organisation 1,England
Direct clinical care or management – school nursing,Maternity unit or birth centre,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,England
Direct clinical care or management – learning disabilities nursing,Governing body or other leadership,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – children’s and neo-natal nursing,Telephone or e-health advice,Volunteering,FALSE,testpostcode1,Test organisation 2,England
Other,Consultancy,Volunteering,TRUE,testpostcode1,Test organisation 2,Scotland
Quality assurance or inspection,Military,Volunteering,TRUE,testpostcode1,Test organisation 2,Scotland
Other,Other,Employed via an agency,TRUE,testpostcode1,Test organisation 1,England
Quality assurance or inspection,Police,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – other,Ambulance service,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Northern Ireland
Commissioning,Public health organisation,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – public health,Voluntary or charity sector,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – health visiting,Maternity unit or birth centre,Self employed,TRUE,testpostcode2,Test organisation 2,Northern Ireland
Quality assurance or inspection,Hospital or other secondary care,Volunteering,TRUE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – health visiting,University or other research facility,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – mental health nursing,Maternity unit or birth centre,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – health visiting,Inspectorate or regulator,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Outside UK
Commissioning,Specialist or other tertiary care including hospice,Volunteering,FALSE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – learning disabilities nursing,Governing body or other leadership,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,England
Education,GP practice or other primary care,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – mental health nursing,Telephone or e-health advice,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,England
Direct clinical care or management – public health,Prison,Volunteering,FALSE,testpostcode2,Test organisation 2,England
Direct clinical care or management – children’s and neo-natal nursing,Other,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – adult and general care nursing,Telephone or e-health advice,Self employed,FALSE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – health visiting,GP practice or other primary care,Self employed,TRUE,testpostcode2,Test organisation 1,Scotland
Quality assurance or inspection,Other,Volunteering,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Policy,Police,Self employed,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Research,Voluntary or charity sector,Volunteering,FALSE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – school nursing,Occupational health,Volunteering,TRUE,testpostcode2,Test organisation 2,Northern Ireland
Research,Consultancy,Employed via an agency,TRUE,testpostcode2,Test organisation 2,England
Policy,Cosmetic or aesthetic sector,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Outside UK
Education,Public health organisation,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – public health,GP practice or other primary care,Volunteering,FALSE,testpostcode2,Test organisation 2,Wales
Policy,Telephone or e-health advice,Volunteering,TRUE,testpostcode2,Test organisation 2,Scotland
Policy,Private domestic setting,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – other,Hospital or other secondary care,Volunteering,TRUE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – health visiting,Police,Self employed,TRUE,testpostcode2,Test organisation 1,England
Direct clinical care or management – school nursing,Insurance or legal,Employed via an agency,TRUE,testpostcode2,Test organisation 2,England
Commissioning,Occupational health,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Wales
Policy,Public health organisation,Volunteering,TRUE,testpostcode1,Test organisation 2,Scotland
Research,Private domestic setting,Volunteering,TRUE,testpostcode1,Test organisation 1,Scotland
Research,Governing body or other leadership,Volunteering,TRUE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – learning disabilities nursing,Cosmetic or aesthetic sector,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – school nursing,Policy organisation,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – school nursing,Consultancy,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Maternity unit or birth centre,Self employed,FALSE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – midwifery,Public health organisation,Volunteering,TRUE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – adult and general care nursing,Governing body or other leadership,Self employed,FALSE,testpostcode2,Test organisation 1,Scotland
Commissioning,Voluntary or charity sector,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – adult and general care nursing,Occupational health,Volunteering,TRUE,testpostcode1,Test organisation 2,Northern Ireland
Quality assurance or inspection,Maternity unit or birth centre,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – other,Private domestic setting,Self employed,TRUE,testpostcode2,Test organisation 2,Outside UK
Research,Policy organisation,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – public health,Military,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Outside UK
Other,Inspectorate or regulator,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Outside UK
Quality assurance or inspection,Public health organisation,Self employed,FALSE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – midwifery,Hospital or other secondary care,Self employed,FALSE,testpostcode1,Test organisation 2,Outside UK
Education,Prison,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – public health,Policy organisation,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,England
Direct clinical care or management – school nursing,School,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – public health,Telephone or e-health advice,Self employed,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Education,School,Self employed,FALSE,testpostcode2,Test organisation 1,Scotland
Commissioning,Governing body or other leadership,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – mental health nursing,Prison,Self employed,TRUE,testpostcode1,Test organisation 2,England
